"","tweet_id","user_username","text","lang","conversation_id","created_at","possibly_sensitive","author_id","in_reply_to_user_id","user_description","user_protected","user_created_at","user_url","user_pinned_tweet_id","user_location","user_verified","user_name","user_profile_image_url","retweet_count","like_count","quote_count","user_tweet_count","user_list_count","user_followers_count","user_following_count","sourcetweet_type","sourcetweet_id","sourcetweet_text","sourcetweet_lang","sourcetweet_author_id"
"1","1520193509021655042","DewlineO","RT @cbcideas: Tonight on IDEAS:

Brain variations which were once advantages are now seen as burdens that beg for remedies. IDEAS traces th…","en","1520193509021655042","2022-04-30T00:09:11.000Z",FALSE,"1257053005549092867",NA,"Writer/artist/office worker; openly meddling 🇨🇦; nerd re: superheroes + starships. He/him/his, but don't let that stop you from saying ""Hi!"" (💉 x5) + 😷",FALSE,"2020-05-03T21:03:08.000Z","https://t.co/JQEQ9mOn3G","1603585558617493505","Ottawa/Adàwe/Odàwàng, Canada",FALSE,"Dwight Williams (💉x 5) + 😷","https://pbs.twimg.com/profile_images/1257053476724641794/nc5xC0m1_normal.jpg",15,0,0,59283,2,618,3140,"retweeted","1520150964778504197","Tonight on IDEAS:

Brain variations which were once advantages are now seen as burdens that beg for remedies. IDEAS traces the social and cultural response to  #Neurodiversity and whether there's a way back to seeing them as advantages. 
 
Listen to Pt 1: 
https://t.co/EVtgwHTGwc https://t.co/tdj4P8wnYU","en","599535866"
"2","1520192301330571264","BedaineMaster2","@LouIou___ @realmitsuri first is queer-anarchism and fourth is neurodiversity","en","1519706117747658754","2022-04-30T00:04:23.000Z",FALSE,"1407747845323726848","1339199000059260932","Je préfère ne pas être genré.e
Suivez: @InneedLgbtqia
Anarchiste Non-Binaire, Queeros et Pan de 16 ans pv: @BedaineMasterpv
pfp par Artyom
@Llanfairpwllark cute",FALSE,"2021-06-23T17:10:23.000Z","https://t.co/rvrzgZ5wrD","1451996489107058692","R'lyeh, Zbeulistan",FALSE,"💙💛 Queen Crimson 💙💛","https://pbs.twimg.com/profile_images/1518114114719072259/3LOWxhCj_normal.jpg",0,6,0,26801,2,352,1329,NA,NA,NA,NA,NA
"3","1520191261822492673","AnnBonny","@annedraya I don't know about a name but the mnemonic for EDS is ""if you can't connect the issues think connective tissues"". And of course EDS has a high correlation with many flavors of neurodiversity.","en","1518882976016343040","2022-04-30T00:00:15.000Z",FALSE,"58160564","1965159528","Chronically Fabulous, Neurodivergent, Demi-Gal, Alaskan, Student, she/her",FALSE,"2009-07-19T09:01:53.000Z",NA,NA,"Alaska",FALSE,"Personal Treehouse of Horror","https://pbs.twimg.com/profile_images/1346752716882599937/xmxj667S_normal.jpg",0,3,0,1618,1,303,1153,NA,NA,NA,NA,NA
"4","1520216021226950658","theKwomanrules","RT @thinkingautism: Asking for eye contact saps @Eidle_Ira's energy. Trust him, he is engaged in a conversation even if he looks distracted…","en","1520216021226950658","2022-04-30T01:38:38.000Z",FALSE,"721346978",NA,"Autistic, ADHD, Diabetic mentally ill Puerto Rican lesbian 🇵🇷 🏳️‍🌈#BLM  Insta:kaylarod Snapchat:kayla51123 Tiktok: same as Twitter",FALSE,"2012-07-28T02:47:26.000Z","https://t.co/gqahMN42Rp","1480014632257470470","Georgia, USA",FALSE,"Kayla Rodriguez","https://pbs.twimg.com/profile_images/1595863093527166977/BE4CJeJY_normal.jpg",22,0,0,77205,20,2604,4948,"retweeted","1520194545723400192","Asking for eye contact saps @Eidle_Ira's energy. Trust him, he is engaged in a conversation even if he looks distracted! Rounding out our April and Accommodations series for #AutismAcceptanceMonth at TPGA:

https://t.co/wtkxRlE72L #autistic #neurodiversity #autism","en","152835605"
"5","1520215771825250304","RyanJamesLoyd","RT @AwesomeNeuro: It's important to consider the strengths of kids with #dyslexia. 

Look at kids' abilities instead of finding deficits or…","en","1520215771825250304","2022-04-30T01:37:38.000Z",FALSE,"533207419",NA,"Skin in the Game for the Dreaming Side",FALSE,"2012-03-22T14:54:40.000Z","https://t.co/OJgnwPepT5","1329999641753120768",NA,FALSE,"Ryan James Loyd","https://pbs.twimg.com/profile_images/1573401496422678541/ueVmOUfm_normal.jpg",53,0,0,20591,12,748,672,"retweeted","1513930727565365251","It's important to consider the strengths of kids with #dyslexia. 

Look at kids' abilities instead of finding deficits or ""what's wrong"" -- we can encourage kids to embrace their abilities and cultivate a positive mindset.

Embrace unique, divergent  thinking! 

#Neurodiversity https://t.co/Tarx3V5iWR","en","885286875199614977"
"6","1520215658721595393","Cryogaijin","@1Schoolhouse I feel this at a deep visceral level.  Too many people fail to understand that part of neurodiversity is not having the same ""context"" as everyone else.  Thus the clarifying questions. How people react to that determines if I have any interest in ever interacting with them again.","en","1520165305707732992","2022-04-30T01:37:11.000Z",FALSE,"20577525","1253059395497480193","Hospitality professional, unashamed SJW, confused autistic Ace. Willing to be your medical advocate.
WingEntity for butch lesbians.",FALSE,"2009-02-11T07:52:58.000Z",NA,NA,"Hillsboro, OR",FALSE,"Autistic information retrieval service","https://pbs.twimg.com/profile_images/1223146902436249601/YtGprS_D_normal.jpg",20,338,1,10148,0,228,213,NA,NA,NA,NA,NA
"7","1520215390705659907","HoyleSchool","Celebrating neurodiversity.. https://t.co/yzPXtlfBAX","en","1520215390705659907","2022-04-30T01:36:08.000Z",FALSE,"2745999325",NA,"",FALSE,"2014-08-19T18:10:10.000Z",NA,NA,NA,FALSE,"hoyleschool","https://pbs.twimg.com/profile_images/514044236635701248/OsRbC9tg_normal.jpeg",0,17,0,910,2,468,172,NA,NA,NA,NA,NA
"8","1520215243552608256","coldfootfilms","RT @AwesomeNeuro: It's important to consider the strengths of kids with #dyslexia. 

Look at kids' abilities instead of finding deficits or…","en","1520215243552608256","2022-04-30T01:35:32.000Z",FALSE,"118962352",NA,"Storyteller.  Filmmaker.  Lover of the Northern Lights.

TALES FROM THE TRAIL (Short Fiction About Dogs, Mushing, and Sled-Dog Races) is out now.",FALSE,"2010-03-02T07:05:05.000Z","https://t.co/Nwh2GMuA5Z","452508200844009472","mushthemovie.com",FALSE,"Alex M. Stein","https://pbs.twimg.com/profile_images/423324086211588096/WLl8uBFW_normal.jpeg",53,0,0,77058,80,5210,4696,"retweeted","1513930727565365251","It's important to consider the strengths of kids with #dyslexia. 

Look at kids' abilities instead of finding deficits or ""what's wrong"" -- we can encourage kids to embrace their abilities and cultivate a positive mindset.

Embrace unique, divergent  thinking! 

#Neurodiversity https://t.co/Tarx3V5iWR","en","885286875199614977"
"9","1520214965277315072","TideHawaii","RT @JustStimming: Either we all have human rights, or none of us do. There isn't a middle ground on that, actually. #Neurodiversity","en","1520214965277315072","2022-04-30T01:34:26.000Z",FALSE,"1244712641529909248",NA,"Advocacy,smiles,laughter,ISCI,IPP,TBI;TIDE _Hawaii=Terminally Ill,Disabled,Elderly;SupportIntractablePainPts;Cancer&NonCancerDx; cardiac,SpinalChordInjs,more♿️",FALSE,"2020-03-30T19:46:48.000Z",NA,"1587742269313949696","Hawaii, USA",FALSE,"TIDE_Hawaii","https://pbs.twimg.com/profile_images/1244713558773911552/PyEyUIRU_normal.jpg",413,0,0,1352,1,182,1478,"retweeted","1091448760914198528","Either we all have human rights, or none of us do. There isn't a middle ground on that, actually. #Neurodiversity","en","3081856324"
"10","1520214673228017664","MuseumLara","RT @AwesomeNeuro: It's important to consider the strengths of kids with #dyslexia. 

Look at kids' abilities instead of finding deficits or…","en","1520214673228017664","2022-04-30T01:33:16.000Z",FALSE,"955439794217275392",NA,"Informed bythe past, motivated by the future. Happily married.
Museums, art, writing, foodways, nature, books. cancer fighter. love is love,she/her. views mine.",FALSE,"2018-01-22T13:59:32.000Z",NA,"1610073698844696581","North America",FALSE,"Lara Temple is grateful & glad 🌈","https://pbs.twimg.com/profile_images/1325500788131696642/E-CWWBPB_normal.jpg",53,0,0,16030,6,1200,2454,"retweeted","1513930727565365251","It's important to consider the strengths of kids with #dyslexia. 

Look at kids' abilities instead of finding deficits or ""what's wrong"" -- we can encourage kids to embrace their abilities and cultivate a positive mindset.

Embrace unique, divergent  thinking! 

#Neurodiversity https://t.co/Tarx3V5iWR","en","885286875199614977"
