"","tweet_id","user_username","text","possibly_sensitive","author_id","conversation_id","created_at","lang","in_reply_to_user_id","user_created_at","user_protected","user_name","user_profile_image_url","user_location","user_description","user_verified","user_pinned_tweet_id","user_url","retweet_count","like_count","quote_count","user_tweet_count","user_list_count","user_followers_count","user_following_count","sourcetweet_type","sourcetweet_id","sourcetweet_text","sourcetweet_lang","sourcetweet_author_id"
"1","1477136542070185988","JesterFilmLover","RT @BeyondTheDoorTO: Happy 2022! #autism #asd #autismontario #autismspectrum #BeTheChange  #neurodiversity #endthestigma @autismspeaksCAN @…",FALSE,"1335653205766713345","1477136542070185988","2022-01-01T04:36:10.000Z","en",NA,"2020-12-06T18:44:07.000Z",FALSE,"Jesse_Eccles 🎥🎞🎬🧩🎙👂🎧💖","https://pbs.twimg.com/profile_images/1335656931168497668/SiZJwQQc_normal.jpg","Washington, IL","I'm a Future Film-maker with Autism, filled with Imagination, Creativity, and Positive Energy. 
I support #ASMR, 
Love #Movie Making, 
Funny Gamers,
& #Autism.",FALSE,"1335692156674183170",NA,1,0,0,24119,7,1555,3048,"retweeted","1477136241758027776","Happy 2022! #autism #asd #autismontario #autismspectrum #BeTheChange  #neurodiversity #endthestigma @autismspeaksCAN @autismONT @autismCanada @geneva_centre  @autism @AMHAwareness @Spectrum @ONTSpecialNeeds @ONTABA1 #NewYear https://t.co/ttlxJuRgC3","en","1173651271561162753"
"2","1477136241758027776","BeyondTheDoorTO","Happy 2022! #autism #asd #autismontario #autismspectrum #BeTheChange  #neurodiversity #endthestigma @autismspeaksCAN @autismONT @autismCanada @geneva_centre  @autism @AMHAwareness @Spectrum @ONTSpecialNeeds @ONTABA1 #NewYear https://t.co/ttlxJuRgC3",FALSE,"1173651271561162753","1477136241758027776","2022-01-01T04:34:58.000Z","en",NA,"2019-09-16T17:34:29.000Z",FALSE,"Beyond The Door","https://pbs.twimg.com/profile_images/1173651726508986368/Lu0xCpFy_normal.jpg","Toronto, Ontario","Beyond the Door Behaviour Associates (BTD) is committed to helping children living Autism through 1:1 hands-on service since 2006",FALSE,"1469304066673106944","https://t.co/YuzVLTZUgA",1,9,0,4095,0,147,179,NA,NA,NA,NA,NA
"3","1477136003089547267","Multi_fangirl18","Just re-read to Percy Jackson series and I have a few thoughts on the neurodivergance (ND)
A thread

I would like to preface this by saying although I have experience with Neurodiversity I'm not a psychologist

Neurodivergance is VERY DIVERSE and this might not be right for you",FALSE,"1331558331790528513","1477136003089547267","2022-01-01T04:34:01.000Z","en",NA,"2020-11-25T11:20:55.000Z",FALSE,"Flowery Fan Girl 🌸💐🌼🌷","https://pbs.twimg.com/profile_images/1553507127934738432/oLAYIkm3_normal.jpg","Permanently Fangirling ","22• Christian ✝️ • INFP• Multi Fan account
I fangirl about everything online but dont talk in real life",FALSE,"1386289339739648007",NA,0,0,0,749,1,20,159,NA,NA,NA,NA,NA
"4","1477130888752160779","LeonarderRod","RT @ThinkLabCam: In the past year, our @ThinkLabCam teams have been working on with partner organisations on #neurodiversity in the #workpl…",FALSE,"1340812232","1477130888752160779","2022-01-01T04:13:42.000Z","en",NA,"2013-04-10T02:31:29.000Z",FALSE,"Rod Leonarder Ed.D","https://pbs.twimg.com/profile_images/344513261583820431/6a49eca4d98a028417f0eb9a2440a88c_normal.jpeg"," Sydney, Australia","Teacher education | Doctorate - leadership, decision making & ethics l Spurs EPL supporter | Scandi and Tartan Noir reader | Old Falconian | All views my own",FALSE,NA,NA,3,0,0,22979,258,2409,459,"retweeted","1471418415059505154","In the past year, our @ThinkLabCam teams have been working on with partner organisations on #neurodiversity in the #workplace. Our work suggests that workplace culture changes could benefit everyone. Here’s a quick visual guide of our approach, with more updates to come! https://t.co/cuvuUovMtR","en","939157453584859136"
"5","1477124797901455361","FrenchBipolar","RT @tristimania101: I am getting to the point where i feel 90% of my mental health problems are coming from society and it’s view of me and…",FALSE,"1461720647055388685","1477124797901455361","2022-01-01T03:49:30.000Z","en",NA,"2021-11-19T15:39:28.000Z",FALSE,"Jm RAULT","https://pbs.twimg.com/profile_images/1594182105486991366/O_TGjia7_normal.jpg","Rennes, France","",FALSE,NA,NA,2,0,0,623,0,170,238,"retweeted","1476619904778477568","I am getting to the point where i feel 90% of my mental health problems are coming from society and it’s view of me and people like me.  We need change and i demand it right now! Who is with me? #bipolar #depression #Neurodivergent #Neurodiversity #bipolarclub #anxiety","en","1412444308192509956"
"6","1477123111099240453","rahxrahster","Someone attacking themselves as an autistic ADHDer in two ways with a meme from Legally Blonde #Neurodiversity https://t.co/qWRPGCLZcG",FALSE,"1087035197651075074","1477123111099240453","2022-01-01T03:42:47.000Z","en",NA,"2019-01-20T17:12:42.000Z",FALSE,"Rabia ✨ noiredivergent ✨","https://pbs.twimg.com/profile_images/1315419401815031810/s6dqPXVo_normal.jpg","NE Ohio, USA","🕊️Believer| just your neighborhood safe space unicorn | blerd | writer | dysarithmic | Autizzy| ADHD | PTSD survivor • TV/film",FALSE,"1551917345123274752","https://t.co/5mm8FHj4pR",0,2,0,45793,24,2059,1407,NA,NA,NA,NA,NA
"7","1477107596473470978","TweetTreet","RT @KorinaLMoss: In 1st grade we were told our son would never be able to be in a school classroom (bc he's neurodiverse). Today we receive…",FALSE,"1258916974727323648","1477107596473470978","2022-01-01T02:41:08.000Z","en",NA,"2020-05-09T00:30:25.000Z",FALSE,"Tweet Treet","https://pbs.twimg.com/profile_images/1488423682246836224/8g-EDkyp_normal.jpg","Australia","Half Bravo, half Auspol. I am not Luann. You can reach her at @CountessLuann. Reminder: no DMs. Like none. I don’t respond.",FALSE,"1552518603991560193",NA,5,0,0,19280,2,1256,1507,"retweeted","1477067630460743688","In 1st grade we were told our son would never be able to be in a school classroom (bc he's neurodiverse). Today we received his 1st college acceptance letter AND they gave him a Presidential Scholars Award that covers 4 yrs tuition. Never give up. #proudmama #Neurodiversity https://t.co/2vsOqyQKFN","en","974313357808463872"
"8","1477107316893835269","ChildrenUrology","Happy #new year #2022
#festival #health #surgery #urologo #sawan
#urology #urologia #Child #Donor #Blood #neurodiversity https://t.co/fdeygTU54O",FALSE,"876788409175552000","1477107316893835269","2022-01-01T02:40:02.000Z","en",NA,"2017-06-19T13:07:01.000Z",FALSE,"Children Urology","https://pbs.twimg.com/profile_images/882244343045787648/v2VuOD2B_normal.jpg",NA,"",FALSE,"1248216984522608641",NA,0,0,0,433,0,160,107,NA,NA,NA,NA,NA
"9","1477104556614029312","YaBoiDenny14","For me, neurodiversity is both a blessing and a curse.",FALSE,"1236051803273297920","1477104556614029312","2022-01-01T02:29:04.000Z","en",NA,"2020-03-06T22:11:37.000Z",FALSE,"(MOVED TO @YaBoiDenny24)","https://pbs.twimg.com/profile_images/1498006771377524747/JE1RHtjX_normal.jpg","@YaBoiDenny24","Dead account. 

Now operating on @YaBoiDenny24 👍🏿",FALSE,"1541280849471148033","https://t.co/5ohswgp4WL",0,1,0,61405,20,1977,4379,NA,NA,NA,NA,NA
"10","1477102629834698753","pamina_q","@edgar_a_bitch @EricMGarcia thanks for all the neurodiversity chatter this year. It’s helped me more than you probably realize and I know that’s true for lots and lots of other people as well 💜",FALSE,"797508459969253376","1477102396933300224","2022-01-01T02:21:24.000Z","en","797508459969253376","2016-11-12T18:36:48.000Z",FALSE,"Pamina queen of halloween","https://pbs.twimg.com/profile_images/1443207383271059470/2gZTC8b0_normal.jpg","A Forest City","nerd, mom, musician, preschool music teacher, insatiably curious. Observations on culture, nature, and dumb internet shit. https://t.co/Cfnuto3djR…",FALSE,"1296157886280859656","https://t.co/d2QLlTYeyw",0,2,0,31199,6,1263,2074,NA,NA,NA,NA,NA
