"","tweet_id","user_username","text","possibly_sensitive","author_id","conversation_id","created_at","lang","in_reply_to_user_id","user_created_at","user_protected","user_name","user_profile_image_url","user_location","user_description","user_verified","user_url","user_pinned_tweet_id","retweet_count","like_count","quote_count","user_tweet_count","user_list_count","user_followers_count","user_following_count","sourcetweet_type","sourcetweet_id","sourcetweet_text","sourcetweet_lang","sourcetweet_author_id"
"1","1576021410304364544","sabartonwrites","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"803788676341919744","1576021410304364544","2022-10-01T01:29:19.000Z","en",NA,"2016-11-30T02:32:08.000Z",FALSE,"🚀I'm S.A. Barton, and I worry about the future🚀","https://pbs.twimg.com/profile_images/902575670026412032/rKebm2d-_normal.jpg","Chicagoland & Generation X","🚀SFF & stuff, FFS
📝Support the arts @ https://t.co/QK2LpYPCRE
💸Fight poverty @ https://t.co/S98shF71qq
👉Pan enby man, he/him
👉Giver of damns",FALSE,"https://t.co/TdHgEKVJfi","1627432514485616640",56,0,0,15799,9,355,1847,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"2","1576020859659390976","bigred_13","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"20190741","1576020859659390976","2022-10-01T01:27:08.000Z","en",NA,"2009-02-05T21:30:02.000Z",FALSE,"Rebecca Kronenfeld 🏳️‍⚧️","https://pbs.twimg.com/profile_images/1611825903260274689/a_iIGUVV_normal.jpg",NA,"Host & Producer of Unrepentant Geeking - Bi, Trans, She/Her",FALSE,"https://t.co/PIK2T9Twz2","1378352115798568966",56,0,0,368271,47,633,538,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"3","1576020695129391105","madmaudlingoes","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"4150232002","1576020695129391105","2022-10-01T01:26:29.000Z","en",NA,"2015-11-09T15:59:27.000Z",FALSE,"Maud O'Bedlam","https://pbs.twimg.com/profile_images/1074521758760202240/96SgjoyW_normal.jpg","Missouri, USA","she/her, neeeerd",FALSE,NA,NA,56,0,0,47493,0,149,218,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"4","1576019972588830720","rule12b6","the latest manifestation of having very very weak boundary-setting skills is constantly asking myself “is it neurodiversity and I’m being ableist, or can I just not feel guilty that I don’t want to spend time around this person”",FALSE,"25952829","1576019972588830720","2022-10-01T01:23:37.000Z","en",NA,"2009-03-23T04:28:41.000Z",FALSE,"it's Mrs. Charles Foster Offdensen to you, pal 𓅃","https://pbs.twimg.com/profile_images/1551004415309520896/ox9_BXEa_normal.jpg","DC-adjacent","velociraptor fan, anxious weirdo, native Hoosier turned NoVA suburban scum ✨she/her ✨irredeemable trash, failed lawyer, but still here to rock & roll ✨",FALSE,NA,"1618286186984013826",0,1,0,4502,11,378,638,NA,NA,NA,NA,NA
"5","1576019381674704901","jvsimmonds01","RT @DrHelenKara: Look @DrAimeeGrant our #OpenAccess article on the Autistic Advantage in Qualitative Research in @cssjournal1 has topped 8,…",FALSE,"3429561543","1576019381674704901","2022-10-01T01:21:16.000Z","en",NA,"2015-08-18T09:27:06.000Z",FALSE,"Prof Jane Simmonds","https://pbs.twimg.com/profile_images/1020378430104309761/hPSLPAJS_normal.jpg","London, England","Educator | physiotherapist | researcher | artist | UCL health through life. @uclphysio @centralhealth @uclchildhealth",FALSE,"https://t.co/MNTjZCr6HR","1622156827965145088",9,0,0,1597,21,2081,1466,"retweeted","1575830640741654529","Look @DrAimeeGrant our #OpenAccess article on the Autistic Advantage in Qualitative Research in @cssjournal1 has topped 8,000 views! It's only been out since last Nov 🫢 https://t.co/ZhHU3iY2kb #ActuallyAutistic #OA #research #neurodiversity #academia","en","65641153"
"6","1576019154775089152","WinterRaptor","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"23563989","1576019154775089152","2022-10-01T01:20:22.000Z","en",NA,"2009-03-10T06:16:53.000Z",FALSE,"Captain Asexual ♏ ⚔ 🏴‍☠️ 🏳️‍⚧️","https://pbs.twimg.com/profile_images/1536553436983984129/ko0lWOeU_normal.jpg",NA,"32 ~ #Disabled ~ #ActuallyAutistic ~ #Artist ~ #DoctorWho ~ #StrangerThings ~ #TheWitcher ~ #TheWalkingDead ~ #Marvel ~ AroAce ~ They/Him",FALSE,NA,"1609535013451595776",56,0,0,118794,64,528,538,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"7","1576018761395720193","in_stemm","RT @turningtechy: ‘I will not’: how Julia Gillard’s words of white-hot anger reverberated around the world #leadingwomen #womeninpower #wom…",FALSE,"1308040042724519939","1576018761395720193","2022-10-01T01:18:48.000Z","en",NA,"2020-09-21T13:47:29.000Z",FALSE,"Women Who Rule!","https://pbs.twimg.com/profile_images/1343957908040531968/keQ3e6VF_normal.jpg",NA,"A friendly bot who re/tweets (infrequently) the inspiring stories of women leaders #womeninleadership #womeninbusiness #womeninpolitics #womeninstemm!",FALSE,NA,"1427630321642651682",1,0,0,195583,41,7002,31,"retweeted","1576018739501334528","‘I will not’: how Julia Gillard’s words of white-hot anger reverberated around the world #leadingwomen #womeninpower #womeningovernment #womeninbusiness #womeninleadership #equality #equalpaynow #humanrights #community #disabilityrights #neurodiversity  https://t.co/q7p8sUMKjl","en","2831631922"
"8","1576018739501334528","turningtechy","‘I will not’: how Julia Gillard’s words of white-hot anger reverberated around the world #leadingwomen #womeninpower #womeningovernment #womeninbusiness #womeninleadership #equality #equalpaynow #humanrights #community #disabilityrights #neurodiversity  https://t.co/q7p8sUMKjl",FALSE,"2831631922","1576018739501334528","2022-10-01T01:18:43.000Z","en",NA,"2014-10-15T13:36:53.000Z",FALSE,"turningtechy","https://pbs.twimg.com/profile_images/1372617495119532043/TvWUw8Hy_normal.png","London, UK","Tech Champion of #womeninIT #womenInSTEM #womenintech Interests: #womenreturners #olderintech #disabilityintech #neurodiversity #loveRobots",FALSE,NA,"1629213879887708160",1,0,0,23398,565,2347,1226,NA,NA,NA,NA,NA
"9","1576018521196466176","Castimirr","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"3262956861","1576018521196466176","2022-10-01T01:17:51.000Z","en",NA,"2015-05-16T19:01:39.000Z",FALSE,"Shane Rogers","https://pbs.twimg.com/profile_images/1251235881622679552/aydmFIHs_normal.jpg","Georgia, US","Coder & Medievalist. Fell for paleography researching medieval economics. Interested in seeing manuscripts,  excavation reports, or your cats. (he/him/il)",FALSE,NA,NA,56,0,0,14120,4,324,902,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"10","1576018392183472128","7259fcdf84f74cf","RT @midori_the_poet: ""MRI""
Colorless green ideas dream #105
カラーレス・グリーン・アイデアズ・ドリーム #105

MRI - MIDORI = - IDO = I DO NOT
= ARTLESS

Neurodiv…",FALSE,"4635403452","1576018392183472128","2022-10-01T01:17:20.000Z","ja",NA,"2015-12-23T05:41:02.000Z",FALSE,"きすけ","https://pbs.twimg.com/profile_images/691245431871791104/4A4SyRbX_normal.jpg",NA,"",FALSE,NA,NA,115,0,0,61,0,0,10,"retweeted","1575774975503478785","""MRI""
Colorless green ideas dream #105
カラーレス・グリーン・アイデアズ・ドリーム #105

MRI - MIDORI = - IDO = I DO NOT
= ARTLESS

Neurodiversity is a spectrum of our existence.

#bach #welltemperedclavier #diversity #ASD #ADHD #LD","ja","1255397637110616066"
"11","1576018196884168704","scots_dragon","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"39095099","1576018196884168704","2022-10-01T01:16:33.000Z","en",NA,"2009-05-10T19:08:26.000Z",FALSE,"Emma MacFarlane (she/her) 🏳️‍⚧️","https://pbs.twimg.com/profile_images/1574497669321572379/lRB6x0GP_normal.jpg","Rainy fascist island.","Amateur writer. White. Autistic. OCD. Anarchist. Trans (she/her). Bi lesbian. 34. Queer as in fuck everything. Expect many dog pictures. 🔞 No minors. 🔞",FALSE,"https://t.co/81RvIuh6jx","1593919135204925440",56,0,0,66668,0,921,2066,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"12","1576018164676108288","rhodanum","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"1226933174044889098","1576018164676108288","2022-10-01T01:16:26.000Z","en",NA,"2020-02-10T18:17:39.000Z",FALSE,"seventeen cats in a trench-coat","https://pbs.twimg.com/profile_images/1412820796968427524/TepU6Hte_normal.png",NA,"rho ☆ seventeen cats in a trench-coat ☆ queer ☆ ey/em ☆ 30+ ☆ fic & meta-writer ☆ villain & woobie lover ☆ ⌛🦋",FALSE,NA,NA,56,0,0,36396,2,106,344,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"13","1576017565934944257","SwordofWit","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"634966888","1576017565934944257","2022-10-01T01:14:03.000Z","en",NA,"2012-07-14T00:01:15.000Z",FALSE,"🍂 Paul 🦉","https://pbs.twimg.com/profile_images/1349895529119944704/PohcB_p-_normal.jpg","Seattle, WA","Writer, nerd, TTRPG enthusiast. (they/them)",FALSE,NA,NA,56,0,0,15064,1,133,587,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"14","1576017403334774784","JemmyNightfall","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"134352717","1576017403334774784","2022-10-01T01:13:24.000Z","en",NA,"2010-04-18T05:13:31.000Z",FALSE,"Andrea Bondeson","https://pbs.twimg.com/profile_images/431993443535962112/hXMvmdI0_normal.jpeg",NA,"Banner by @roxiqt",FALSE,NA,NA,56,0,0,71323,1,127,324,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"15","1576017225995386881","GritnGlitter","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"15471459","1576017225995386881","2022-10-01T01:12:42.000Z","en",NA,"2008-07-17T18:15:41.000Z",FALSE,"Christy","https://pbs.twimg.com/profile_images/1587520320885649409/ApTe_3KB_normal.jpg","Portland, OR","A terrible tongue and a temper for two.
I retweet way too much.
 she/her/they",FALSE,NA,"1577759199601491968",56,0,0,62154,20,648,1772,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"16","1576016827964354561","thatnomoonprism","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"13481532","1576016827964354561","2022-10-01T01:11:07.000Z","en",NA,"2008-02-14T18:08:35.000Z",FALSE,"Moon, Pun Archigent","https://pbs.twimg.com/profile_images/1571954920462651393/fh2bYHUa_normal.jpg","Pacific Northwest","She/they ~ MoonPrism ~ queer bi+ demi fat polyam enby demifemme ~ seawitch ~ ND ~ FFXIV ~ D&D ~ ADHD ~ engineer ~ art ~ spoonie ~ latine ~ streamer ~ mod",FALSE,"https://t.co/pBYfKqxL2j","1571605173226831874",56,0,0,44029,44,718,1482,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"17","1576016680341602304","branewurms","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"23423467","1576016680341602304","2022-10-01T01:10:32.000Z","en",NA,"2009-03-09T11:05:19.000Z",FALSE,"butts singing through time","https://pbs.twimg.com/profile_images/1207883244101947393/x8dZSQOT_normal.jpg","dying in a bone in a basement","she/they || shiftless data structures || deconstructed siphonophore || small nocturnekl animalk || 🔞 || inclus || unapologetically pro-fiction",FALSE,"https://t.co/qws6JjHKnG","899398588601597954",56,0,0,142181,18,578,630,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"18","1576016366423117826","TaylorMarigold","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"1456137417346273280","1576016366423117826","2022-10-01T01:09:17.000Z","en",NA,"2021-11-04T05:53:49.000Z",FALSE,"Taylor Marigold","https://pbs.twimg.com/profile_images/1456138326524633089/VTj20XRB_normal.jpg",NA,"Taylor | they/them | maker, artist 💙

My cat is Luna, she has thumbs and a thirst for chaos.",FALSE,"https://t.co/rthF745I4u","1512148123577045017",56,0,0,955,0,19,99,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"19","1576016286986866688","honglebongle","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"930842422069874688","1576016286986866688","2022-10-01T01:08:58.000Z","en",NA,"2017-11-15T16:58:22.000Z",FALSE,"Hongle","https://pbs.twimg.com/profile_images/1395224863418331138/qpGlaW2H_normal.jpg","Tampa, FL","Just a pumpkin rolling on in life",FALSE,NA,NA,56,0,0,92999,2,334,1717,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
"20","1576016034208706560","howieeday","RT @driven2drink: Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily c…",FALSE,"209919774","1576016034208706560","2022-10-01T01:07:58.000Z","en",NA,"2010-10-30T04:37:34.000Z",FALSE,"Howie Day","https://pbs.twimg.com/profile_images/1402455850522841090/0Z23lzzh_normal.jpg","Lewiston, ID","Tech Art Director at Echtra. I love nostalgia! All thoughts my own..and not great? (he/him)
@howieeday@mastodon.gamedev.place",FALSE,"https://t.co/nffxOLwZ46","1622715208962826240",56,0,0,36135,147,12767,2875,"retweeted","1575991678879793153","Hilarious. Also, frustrating.

I coach folks w ADHD, Autism, &amp; neurodiversity. Every official, systemic, and/or readily compensated support requires layers of additional executive juggling to obtain and use executive function supports and it's fucking exhausting. https://t.co/lgjbyuDSwb","en","171708953"
