,Work,Lockdown,Supervisor
2020-05-01,83.0,16.0,30.0
2020-05-15,65.0,6.0,22.0
2020-05-16,37.0,6.0,8.0
2020-05-17,37.0,5.0,12.0
2020-05-18,75.0,15.0,15.0
2020-05-19,52.0,8.0,12.0
2020-05-21,89.0,25.0,40.0
2020-05-23,41.0,6.0,9.0
2020-05-25,50.0,5.0,18.0
2020-05-27,62.0,13.0,27.0
2020-05-30,32.0,4.0,16.0
2020-06-01,79.0,8.0,34.0
2020-06-04,65.0,8.0,27.0
2020-06-09,74.0,7.0,33.0
2020-06-10,109.0,9.0,44.0
2020-06-12,56.0,2.0,19.0
2020-06-14,62.0,5.0,23.0
2020-06-15,101.0,7.0,26.0
2020-06-17,155.0,10.0,45.0
2020-06-24,113.0,3.0,45.0
2020-06-25,66.0,10.0,29.0
2020-06-26,101.0,8.0,37.0
2020-06-27,50.0,6.0,25.0
2020-06-29,52.0,12.0,18.0
2020-07-03,70.0,12.0,26.0
2020-07-06,83.0,7.0,32.0
2020-07-16,125.0,8.0,42.0
2020-07-17,65.0,10.0,26.0
2020-07-21,114.0,10.0,33.0
2020-07-23,110.0,14.0,28.0
2020-07-25,44.0,4.0,12.0
2020-07-26,54.0,9.0,19.0
2020-07-28,90.0,11.0,39.0
2020-07-30,81.0,11.0,25.0
2020-08-01,62.0,4.0,15.0
2020-08-03,86.0,6.0,35.0
2020-08-07,80.0,11.0,25.0
2020-08-11,96.0,9.0,42.0
2020-08-13,91.0,15.0,32.0
2020-08-14,85.0,12.0,27.0
2020-08-15,31.0,4.0,13.0
2020-08-18,78.0,10.0,28.0
2020-08-19,100.0,14.0,26.0
2020-08-20,62.0,4.0,21.0
2020-08-22,67.0,9.0,22.0
2020-08-24,83.0,18.0,22.0
2020-08-25,58.0,13.0,13.0
2020-09-05,61.0,11.0,12.0
2020-09-08,123.0,14.0,49.0
2020-09-11,84.0,11.0,24.0
2020-09-14,90.0,22.0,30.0
2020-09-23,141.0,6.0,25.0
2020-09-25,145.0,6.0,45.0
2020-09-27,83.0,14.0,42.0
2020-09-29,153.0,7.0,43.0
2020-10-01,215.0,14.0,66.0
2020-10-02,151.0,13.0,48.0
2020-10-06,204.0,15.0,59.0
2020-10-07,186.0,21.0,65.0
2020-10-08,142.0,11.0,35.0
2020-10-13,176.0,10.0,47.0
2020-10-16,79.0,6.0,31.0
2020-10-22,133.0,3.0,51.0
2020-10-23,131.0,9.0,55.0
2020-10-25,68.0,4.0,32.0
2020-10-26,111.0,2.0,41.0
2020-10-28,250.0,14.0,99.0
2020-11-01,49.0,4.0,16.0
2020-11-02,116.0,10.0,52.0
2020-11-05,103.0,10.0,33.0
2020-11-12,112.0,15.0,48.0
2020-11-13,120.0,10.0,67.0
2020-11-14,85.0,5.0,40.0
2020-11-17,140.0,5.0,53.0
2020-11-18,145.0,16.0,56.0
2020-11-19,99.0,9.0,45.0
2020-11-20,136.0,8.0,61.0
2020-11-21,118.0,11.0,50.0
2020-11-22,79.0,4.0,28.0
2020-11-24,93.0,7.0,31.0
2020-11-25,113.0,15.0,42.0
2020-11-26,134.0,15.0,66.0
2020-11-28,48.0,4.0,28.0
2020-12-01,194.0,16.0,91.0
2020-12-02,121.0,14.0,59.0
2020-12-03,185.0,19.0,89.0
2020-12-04,125.0,20.0,44.0
2020-12-09,185.0,16.0,87.0
2020-12-10,102.0,11.0,58.0
2020-12-11,109.0,11.0,34.0
2020-12-13,47.0,1.0,18.0
2020-12-15,100.0,13.0,39.0
2020-12-16,118.0,7.0,42.0
2020-12-19,64.0,1.0,29.0
2020-12-21,98.0,7.0,37.0
2020-12-23,96.0,12.0,35.0
2020-12-24,84.0,7.0,40.0
2020-12-26,31.0,4.0,11.0
2020-12-27,32.0,5.0,21.0
2020-12-30,67.0,15.0,26.0
2021-01-01,54.0,10.0,23.0
2021-01-04,82.0,18.0,41.0
2021-01-05,104.0,17.0,43.0
2021-01-08,93.0,9.0,35.0
2021-01-12,130.0,15.0,46.0
2021-01-13,146.0,8.0,45.0
2021-01-16,50.0,14.0,12.0
2021-01-19,149.0,12.0,51.0
2021-01-20,161.0,8.0,67.0
2021-01-22,127.0,10.0,43.0
2021-01-24,82.0,7.0,31.0
2021-01-27,173.0,10.0,64.0
2021-01-28,122.0,6.0,55.0
2021-01-30,60.0,5.0,29.0
2021-02-01,109.0,7.0,50.0
2021-02-02,96.0,8.0,38.0
2021-02-03,117.0,10.0,38.0
2021-02-05,130.0,16.0,50.0
2021-02-08,153.0,8.0,52.0
2021-02-10,108.0,14.0,36.0
2021-02-11,99.0,9.0,37.0
2021-02-13,118.0,8.0,48.0
2021-02-15,108.0,8.0,48.0
2021-02-17,114.0,5.0,44.0
2021-02-21,72.0,8.0,27.0
2021-02-22,130.0,14.0,59.0
2021-02-23,162.0,12.0,66.0
2021-02-24,173.0,14.0,74.0
2021-02-25,165.0,14.0,46.0
2021-03-01,123.0,11.0,36.0
2021-03-02,118.0,11.0,61.0
2021-03-05,119.0,11.0,46.0
2021-03-06,60.0,3.0,28.0
2021-03-07,59.0,5.0,29.0
2021-03-08,112.0,12.0,42.0
2021-03-09,130.0,13.0,37.0
2021-03-12,187.0,8.0,90.0
2021-03-15,408.0,31.0,132.0
2021-03-16,322.0,32.0,93.0
2021-03-17,314.0,15.0,102.0
2021-03-18,271.0,14.0,73.0
2021-03-19,311.0,9.0,74.0
2021-03-20,101.0,9.0,33.0
2021-03-21,102.0,14.0,41.0
2021-03-22,171.0,11.0,76.0
2021-03-23,197.0,19.0,67.0
2021-03-24,151.0,13.0,71.0
2021-03-26,159.0,10.0,51.0
2021-03-27,90.0,13.0,31.0
2021-03-28,92.0,10.0,32.0
2021-03-29,363.0,16.0,110.0
2021-03-30,275.0,12.0,65.0
2021-04-01,555.0,24.0,117.0
2021-04-02,1454.0,33.0,254.0
2021-04-03,383.0,15.0,83.0
2021-04-05,306.0,9.0,64.0
2021-04-06,242.0,15.0,70.0
2021-04-07,278.0,10.0,85.0
