,tweet_id,user_username,author_id,user_name,text,created_at,in_reply_to_user_id,user_created_at,user_description,user_location,retweet_count,like_count,quote_count,user_followers_count,user_following_count,sourcetweet_type,tokenized_text,hashtags,punctuation
0,1278145771225972736,jimmybero,236294109,Jimmy Bero,Nanette &amp; Douglas both illuminate our society’s need to celebrate the gift of neurodiversity.,2020-07-01T01:57:53.000Z,236294109.0,2011-01-10T07:37:50.000Z,I like cheese 🧀,"Madison, WI",0,0,0,303,550,,nanette douglas illuminate society need celebrate gift,[],"['', '’', '']"
7,1278135646222237698,HauntedOldBook,1130203489374801921,Tee Furg is Ukrainian 🇺🇦,"Come join me - two weeks from now, I’m talking about neurodiversity in libraries with an unbelievable lineup of panelists!

https://t.co/B8gyvRvno1",2020-07-01T01:17:39.000Z,,2019-05-19T20:08:04.000Z,"Libraries. Poems. Policy. Equity and justice. #GoLeafsGo He/him/his. Libra, but that’s obvious. ALA Emerging Leader 2022.",NY,1,5,0,432,2459,,come join two weeks talking libraries unbelievable lineup panelists,[],"['', '', '’', '']"
13,1278133697393291265,barisanhantu,1222820028522696706,Barisan Hantu,"And, of course, I would really like to see learning designed for neurodiversity rather than for developing human capital. Differentiated learning is a step in the right direction, but Universal Design for Learning is probably closer.",2020-07-01T01:09:54.000Z,1.2228200285226967e+18,2020-01-30T09:53:18.000Z,"Tumblr: https://t.co/vHADReIHjX
Tiktok: barisanhantu",,0,3,0,12317,1313,,course would really like see learning designed rather developing human capital differentiated learning step right direction universal design learning probably closer,[],"['', '', '', '', '']"
16,1278132061145006080,iamhatw,1473077023,elisabeth,@Elizapigs @carsonkingyt Pls stop using Neurodiversity as a manipulative bargaining chip. Hyperfixation does not equal toxic obsession and reinforcing that narrative is harmful to neurodivergent ppl. Ty,2020-07-01T01:03:24.000Z,4889502134.0,2013-05-31T20:48:43.000Z,dave bautista fan club she/her,,4,436,1,423,324,,pls stop using manipulative bargaining chip hyperfixation equal toxic obsession reinforcing narrative harmful ppl ty,[],"['', '']"
22,1278125203927838721,messyandmad,1433088517,Ell ✨,"What It's Like to Be ADHD and Black

One of my fave YouTube channels interviewed 13 people about their experience with the intersection between race &amp; neurodiversity/mental health

CN: discussion of suicide, abuse, police brutality, medical racism, r slur

https://t.co/bdyKAyhFKs",2020-07-01T00:36:09.000Z,,2013-05-16T13:19:27.000Z,aaaaa,"Newham, London",0,0,0,274,268,,like adhd black one fave youtube channels interviewed people experience intersection race mental health cn discussion suicide abuse police brutality medical racism r slur,[],"['', '', '', '', '', '', '', '']"
27,1278120631855243264,DiscPrimitive,1193784605368668160,Drew,"@j3wls @JacobLishmov @Visual_Moods I really appreciate your candidness. I suspect there are a lot of us in the VP community who have a broad range of illnesses and neurodiversity. I know my own baggage comes through in my VP. Is that part of your experience?

Also: you (baggage and all) are always welcome here.",2020-07-01T00:17:59.000Z,18181796.0,2019-11-11T06:59:31.000Z,"Ex-games industry and accessible dev. UniSA Bach. of Psychological Science & Sociology student, w/ two Online Excellence Awards (2021 & 2022). Follower of Jesus",Boonwurrung / Melbourne,0,1,0,488,167,,really appreciate candidness suspect lot us vp community broad range illnesses know baggage comes vp part experience also baggage always welcome,[],"['', '', '', '', '', '', '', '']"
28,1278273103462895616,WhoStu,817257997,Stuart Lauchlan,Recruitment best practice exemplars around neurodiversity from @sap and @cloud9insight - HCM thought leadership  with genuine organizational benefits. https://t.co/Yqr984AVrs,2020-07-01T10:23:51.000Z,,2012-09-11T11:43:05.000Z,"co-founder, diginomica. Journalist quietly despairing. In no mood for...take your pick.",,1,2,0,1440,563,,recruitment best practice exemplars around hcm thought leadership genuine organizational benefits,[],"['', '']"
29,1278272692106428416,BytesDyslexia,1129773331681632259,Dyslexia Bytes,Why Hiring Upside Down Thinkers (such as #ADHD and #autism) Is a Competitive Advantage https://t.co/bNY8ji0TJ1,2020-07-01T10:22:13.000Z,,2019-05-18T15:38:47.000Z,"Dedicated to raising awareness, passionate about learning.
Training, conference speaking, research, bringing people together.
#Dyslexia #SEN https://t.co/Lxfk6y43F0","Yorkshire, UK",0,5,0,1810,2097,,hiring upside thinkers competitive advantage,"['#adhd', '#autism']","['', '']"
30,1278272492528959489,marisaddendum,1252170177824915456,dizzy-addendum,"That’s all. There is not a major turning point to highlight. Personality disorder and neurodiversity are different. Still, the resemblance I see regarding this two condition seems legit. My useless rabbit hole ended. Any further consideration it’s welcome. 12/n END",2020-07-01T10:21:26.000Z,1.2521701778249155e+18,2020-04-20T09:40:17.000Z,my personal attempt to share something! Autistic + deaf. An emotional mess due to alexithymia and sensitivity to rejection.,Wondering-Brain-Fog,0,1,0,142,56,,major turning point highlight personality disorder different still resemblance see regarding two condition seems legit useless rabbit hole ended consideration welcome n end,[],"['’', '', '', '', '', '', '', '’', '', '', '']"
31,1278272476594790400,marisaddendum,1252170177824915456,dizzy-addendum,"In the questionnaire you can find easily neurodivergent traits (both from ADHD and Autism), in my ignorant opinion. But here I’ve tried to highlight those points that are true for me, but I can’t say if are neurodiversity related. Those points that may lead to misdiagnosis? 6/n",2020-07-01T10:21:22.000Z,1.2521701778249155e+18,2020-04-20T09:40:17.000Z,my personal attempt to share something! Autistic + deaf. An emotional mess due to alexithymia and sensitivity to rejection.,Wondering-Brain-Fog,0,1,0,142,56,,questionnaire find easily traits adhd autism ignorant opinion tried highlight points true say related points may lead misdiagnosis n,[],"['', '', '', '', '’', '', '’', '', '', '', '']"
32,1278272471544803328,marisaddendum,1252170177824915456,dizzy-addendum,"I have a very negative self image, white and black thinking and lot of stuff that just seems to fit BPD’s criteria. One big difference: I can’t recall significative life’s events. But, adding a new found and grounded neurodiversity may lead to some interesting considerations. 4/n",2020-07-01T10:21:21.000Z,1.2521701778249155e+18,2020-04-20T09:40:17.000Z,my personal attempt to share something! Autistic + deaf. An emotional mess due to alexithymia and sensitivity to rejection.,Wondering-Brain-Fog,0,1,0,142,56,,negative self image white black thinking lot stuff seems fit bpd criteria one big difference recall significative life events adding new found grounded may lead interesting considerations n,[],"['', '’', '', '', '’', '’', '', '', '', '', '']"
33,1278272294897553411,WhoStu,817257997,Stuart Lauchlan,"""The consultants we employ all have excellent cognitive abilities often over and above neurotypical people."" Tech consultancy @auticon_en is blazing a trail around neurodiversity, but there's a long way to go for others. Important stuff. https://t.co/zs2yUnQtzX",2020-07-01T10:20:38.000Z,,2012-09-11T11:43:05.000Z,"co-founder, diginomica. Journalist quietly despairing. In no mood for...take your pick.",,0,0,0,1440,563,,consultants employ excellent cognitive abilities often neurotypical people tech consultancy blazing trail around theres long way go others important stuff,[],"['', '', '', '', '', '']"
34,1278271395290419200,sfeldman0,15801377,Scott Feldman Esq.,Neurodiversity in the tech sector - SAP and Cloud9 Insight make it all about the individual https://t.co/VKZhiqDBD0 https://t.co/eMhHjPtUXr,2020-07-01T10:17:04.000Z,,2008-08-10T21:09:27.000Z,Also @patentesquire Tech Strategy. Law. IoT. Wine.,"ÜT: 28.475271,-81.457737",0,0,0,1359,450,,tech sector sap cloud insight make individual,[],"['', '']"
