,tokenized_text,is_after_split_date
0,nanette douglas illuminate society need celebrate gift,False
1,come join two weeks talking libraries unbelievable lineup panelists,False
2,course would really like see learning designed rather developing human capital differentiated learning step right direction universal design learning probably closer,False
3,pls stop using manipulative bargaining chip hyperfixation equal toxic obsession reinforcing narrative harmful ppl ty,False
4,like adhd black one fave youtube channels interviewed people experience intersection race mental health cn discussion suicide abuse police brutality medical racism r slur,False
5,really appreciate candidness suspect lot us vp community broad range illnesses know baggage comes vp part experience also baggage always welcome,False
6,recruitment best practice exemplars around hcm thought leadership genuine organizational benefits,False
7,hiring upside thinkers competitive advantage,False
8,major turning point highlight personality disorder different still resemblance see regarding two condition seems legit useless rabbit hole ended consideration welcome n end,False
9,questionnaire find easily traits adhd autism ignorant opinion tried highlight points true say related points may lead misdiagnosis n,False
10,negative self image white black thinking lot stuff seems fit bpd criteria one big difference recall significative life events adding new found grounded may lead interesting considerations n,False
11,consultants employ excellent cognitive abilities often neurotypical people tech consultancy blazing trail around theres long way go others important stuff,False
12,tech sector sap cloud insight make individual,False
13,different experiences different perspectives better decision making hr equation,False
14,different experiences different perspectives better decision making hr equation via,False
15,still sure masking masking behaviors thoughts rituals develop hide,False
16,tomorrow international disorders corpus callosum day tonight please take mins meet karina shes yo isolated agenesis corpus callosum,False
17,students brilliant come prepared would asset company employs,False
18,lunchtime today pm facebook really useful anyone supporting autistic disabled people independent watch live ask questions video fb miss,False
19,good bbc recognising important work done far little public exposure given concept moment,False
20,actually looked state recently publishing book overwhelmingly identity first preference autistic people surveyed parents siblings family tend prefer person first completing survey n,False
21,one gives voice people fighting support thier jessica interviews people around world,False
22,learn latest,False
23,well inviting members lived professional experience contribute work course welcome wider collaboration important issue know also plans,False
24,would like use presentation avm trainees ok credit source,False
25,mom says turn,False
26,visually impaired also want world accommodating stigmafree accommodating vision im riding km next asking donations via,False
27,brilliant thankyou actioning fill share loads huge amount change needs happen arts relieved recognised x,False
28,dont focus preparing candidates employment focus providing ongoing support regular checkins working candidates needed help maintain meaningful employment,False
29,virtual conference enable employers learn workplace able apply learning practical way make sure book,False
30,autism identity disease inside movement activists argue rather trying cure society learn appreciate accommodate needs katherine reynolds lewis,False
31,case wondered important hope achieve article explains,False
32,joy hear people advocate physical educate work life change manager make team inclusive tells us brings great things table despite chronic illness,False
33,autistic people often realize deeply hurt neurotypical person feelings library story please rt,False
34,excited slightly sad giving last presentation today time finish thesis missing autistic girls absent mainstream secondary schools,False
