,tokenized_text,is_after_split_date
0,thanks helping manage really helped month im terrible logging stuff,True
1,agreed ada really much intellectual disabilities things like making sure lights bright mic feedback sensory concerns way many people excluded worship people dom know care,True
2,hi write academic stuff somatic psychology gender short speculative fiction urban fantasy webcomic called weird luck thats set universe prose fiction,True
3,recruiter case fraud day deserve,True
4,premature proposition autistics would immediately prefer synthesis best worlds medical social also added notion ethnic minority model,True
5,see situ reprint,True
6,adhd news according article forbes models critical diagnosing adhd value recognizing benefits also acknowledging real often disabling symptoms adhd,True
7,think good business coverage one clients,True
8,thinking lot reading divergent minds excellent book women,True
9,said enough read already particular flavour prevents making recommendations,True
10,much happened thought better put blog post,True
11,shout simon balle school hertfordshire registering take part celebration,True
12,dx appointment min prepared war time bringing p transgender vs science family tree diagram spreadsheets color coding fucking parking fine yesterday im fighting bitch mode,True
13,great spending time thank inviting podcast people go check great work,True
14,dr nancy doyle reminds us pragmatic blend medical social model disability underpins paradigm originally posited judy singer,True
15,discussing topic supporting employees weeks blog expert insight employee scotland,True
16,podcast diagnosis hesitancy yesterday added us ticking downloads mark could coincidence many us undiagnosed millions reasons,True
17,poorly written piece neurodiversityrelated terminology used nonsensical way recommend article guidance,True
18,dont know proportion human population pro antibiodiversity people antineurodiversity either dont understand means theyre truly diversity human minds want remove diversity hmm,True
19,neurodivergence provoking new mind sight via,True
20,im proud daughter tell people complex neurodevelopmental disability effort normalise disability nowhere near forefront public consciousness painful power imbalance formed protect raising awareness,True
21,believe curriculums adapted educate better lgbtq people,True
22,formal adhd diagnosis self awareness training work im certain sounds like,True
23,goldilocks three bears evie pickerill head stories symbols youtube channel catch latest family favourite thanks,True
24,professor never heard receptive resource citation heavy tirade lack better word said incorporate information future semesters try work one victory,True
25,clients know magistrates judges within hm court tribunals service dont basic specialist training especially disability equality training training mental health trauma issues training,True
26,core viewpoint diversity heterodox definition,True
27,major focus antrans break free rigid enforcement body augs preservation seen bioconservatism also heavily embrace queerness wanting create one many futures people enrich,True
28,moved past awareness acceptance decade stuck awareness mode hard take time adjust cheers,True
29,need help remembering drink enough water taking meds texting friends back bot friend,True
30,lovely mentions seems confusing mental illness though im also mental ill depression anxiety bulimia none makes im saying incorrect gcs never miss opportunity ableism well transphobia,True
31,first step increase reach awareness acceptance amongst clinicians autistics kill unimaginable rates little meaningful mental health supports designed meet support needs,True
32,friends west coast panel invited sign interested,True
33,check uofg network presents nigel ashworth,True
34,space fewer people longer appointments mobilityaccessible anxiety friendly friendly lgbtiqa friendly child friendly hearing association kent terrace wellington sat feb pm thurs feb pm pm thurs feb pm pm,True
35,space fewer people longer appointments mobilityaccessible anxiety friendly friendly lgbtiqa friendly child friendly hearing association kent terrace wellington sat feb pm thurs feb pm pm thurs feb pm pm,True
36,everyones concept represented media incredibly misguided broken like character qualities stereotypically pleasing realistic like adhd characters get distracted w ooh squirrel ooh tree,True
37,advocate deidentifying individuals speak write podcast write doctor politician make public,True
38,people always obsess characters think rep omg brunos compulsions ticks quirky know damn well character nobody would like even though would realistic rep,True
39,joke actually see outlook,True
40,excellent piece breaks number important issues related selfadvocacy,True
41,mental illness make physically sick,True
42,hi jenny years experience mental health fair years professionally within community work individuals coming prison struggles linked happy chat drop dm want,True
43,justice elizabeth would loved able share story expierence adhd tv,True
44,behaviours subconsciously copying others positive behaviours want emulate mindset course set success,True
45,ready conversation join us februrary pm pm harnessing power webinar tickets available,True
46,striving normal client states important,True
47,shout royal grammar school newcastle newcastle upon tyne registering take part celebration,True
48,live masterclass feedback positive way job seeker extremely important nish parikh ceo cofounder rangam join us live,True
49,estimated around people uk dyscalculia although neurodifference affects individuals ability acquire use mathematical skills people dyscalculia possess whole range unique skills,True
50,children use take school also use home homework case joseph parttime homeschooled use wants wherever,True
51,respectfully would disagree regards want suggest condition manifests daily various situations contexts boredom agree environment make huge diff struggled get msg across son school,True
52,awesome news peter congrats thank education specifically causal inference helped professionally personally,True
53,spoiler alert intersectional rg take maydec solely discuss texts twice month v intersectional bec thats adhd studies like atm want receive updates sign intersectional rg,True
54,consistent positive paternal figure growing explosive temper treated kind blood curse left symptom relentless bullying really figure much years,True
55,content warning get lot talking childhood trauma mental health substance abuse domestic violence intense stuff much get lot handle life,True
56,colin foley national training director adhd foundation charity training school staff bishop road primary school bristol today identifying needs strengths learners adhd outstanding teaching learning,True
57,pleased part project great speak work continue,True
58,maximise business potential harness powers sign webinar feb learn challenges strengths benefits,True
59,according women seeking answers symptoms arguably result greater awareness condition symptoms present women girls,True
60,highly recommend training professionals starting journey understanding neurodivergence practice led advocates kate jones terra vance,True
61,id like publish article panic attack yesterday honestly bleak sounds would publish look publishing piece like,True
62,register dr nancy doyle upcoming seminar work opportunity exploitation,True
63,blog discuss sanibel island florida laughing place individual,True
64,today submitted parent carer stories mental health inequalities senedd committee meeting february appreciate opportunity sharing experiences help shape services wales,True
65,training colleagues today,True
