,tweet_id,text,tokenized_text
0,1278145771225972736,Nanette &amp; Douglas both illuminate our society’s need to celebrate the gift of neurodiversity.,nanette & douglas both illuminate our society ’ s need to celebrate the gift of neurodiversity .
7,1278135646222237698,"Come join me - two weeks from now, I’m talking about neurodiversity in libraries with an unbelievable lineup of panelists!

https://t.co/B8gyvRvno1","come join me - two weeks from now , i ’ m talking about neurodiversity in libraries with an unbelievable lineup of panelists ! <url>"
13,1278133697393291265,"And, of course, I would really like to see learning designed for neurodiversity rather than for developing human capital. Differentiated learning is a step in the right direction, but Universal Design for Learning is probably closer.","and , of course , i would really like to see learning designed for neurodiversity rather than for developing human capital . differentiated learning is a step in the right direction , but universal design for learning is probably closer ."
16,1278132061145006080,@Elizapigs @carsonkingyt Pls stop using Neurodiversity as a manipulative bargaining chip. Hyperfixation does not equal toxic obsession and reinforcing that narrative is harmful to neurodivergent ppl. Ty,<user> <user> pls stop using neurodiversity as a manipulative bargaining chip . hyperfixation does not equal toxic obsession and reinforcing that narrative is harmful to neurodivergent ppl . ty
22,1278125203927838721,"What It's Like to Be ADHD and Black

One of my fave YouTube channels interviewed 13 people about their experience with the intersection between race &amp; neurodiversity/mental health

CN: discussion of suicide, abuse, police brutality, medical racism, r slur

https://t.co/bdyKAyhFKs","what it ' s like to be <allcaps> adhd </allcaps> and black one of my fave youtube channels interviewed <number> people about their experience with the intersection between race & neurodiversity / mental health cn : discussion of suicide , abuse , police brutality , medical racism , r slur <url>"
27,1278120631855243264,"@j3wls @JacobLishmov @Visual_Moods I really appreciate your candidness. I suspect there are a lot of us in the VP community who have a broad range of illnesses and neurodiversity. I know my own baggage comes through in my VP. Is that part of your experience?

Also: you (baggage and all) are always welcome here.",<user> <user> <user> i really appreciate your candidness . i suspect there are a lot of us in the vp community who have a broad range of illnesses and neurodiversity . i know my own baggage comes through in my vp . is that part of your experience ? also : you ( baggage and all ) are always welcome here .
28,1278273103462895616,Recruitment best practice exemplars around neurodiversity from @sap and @cloud9insight - HCM thought leadership  with genuine organizational benefits. https://t.co/Yqr984AVrs,recruitment best practice exemplars around neurodiversity from <user> and <user> - <allcaps> hcm </allcaps> thought leadership with genuine organizational benefits . <url>
29,1278272692106428416,Why Hiring Upside Down Thinkers (such as #ADHD and #autism) Is a Competitive Advantage https://t.co/bNY8ji0TJ1,why hiring upside down thinkers ( such as <hashtag> adhd </hashtag> and <hashtag> autism </hashtag> ) is a competitive advantage <url>
30,1278272492528959489,"That’s all. There is not a major turning point to highlight. Personality disorder and neurodiversity are different. Still, the resemblance I see regarding this two condition seems legit. My useless rabbit hole ended. Any further consideration it’s welcome. 12/n END","that ’ s all . there is not a major turning point to highlight . personality disorder and neurodiversity are different . still , the resemblance i see regarding this two condition seems legit . my useless rabbit hole ended . any further consideration it ’ s welcome . <number> / n <allcaps> end </allcaps>"
31,1278272476594790400,"In the questionnaire you can find easily neurodivergent traits (both from ADHD and Autism), in my ignorant opinion. But here I’ve tried to highlight those points that are true for me, but I can’t say if are neurodiversity related. Those points that may lead to misdiagnosis? 6/n","in the questionnaire you can find easily neurodivergent traits ( both from <allcaps> adhd </allcaps> and autism ) , in my ignorant opinion . but here i ’ ve tried to highlight those points that are true for me , but i can ’ t say if are neurodiversity related . those points that may lead to misdiagnosis ? <number> / n"
32,1278272471544803328,"I have a very negative self image, white and black thinking and lot of stuff that just seems to fit BPD’s criteria. One big difference: I can’t recall significative life’s events. But, adding a new found and grounded neurodiversity may lead to some interesting considerations. 4/n","i have a very negative self image , white and black thinking and lot of stuff that just seems to fit <allcaps> bpd </allcaps> ’ s criteria . one big difference : i can ’ t recall significative life ’ s events . but , adding a new found and grounded neurodiversity may lead to some interesting considerations . <number> / n"
33,1278272294897553411,"""The consultants we employ all have excellent cognitive abilities often over and above neurotypical people."" Tech consultancy @auticon_en is blazing a trail around neurodiversity, but there's a long way to go for others. Important stuff. https://t.co/zs2yUnQtzX",""" the consultants we employ all have excellent cognitive abilities often over and above neurotypical people . "" tech consultancy <user> is blazing a trail around neurodiversity , but there ' s a long way to go for others . important stuff . <url>"
34,1278271395290419200,Neurodiversity in the tech sector - SAP and Cloud9 Insight make it all about the individual https://t.co/VKZhiqDBD0 https://t.co/eMhHjPtUXr,neurodiversity in the tech sector - <allcaps> sap </allcaps> and cloud9 insight make it all about the individual <url> <url>
36,1278269393718263809,Different experiences + different perspectives = better decision making - the neurodiversity HR equation https://t.co/J5r0N6Mjgj https://t.co/ZeBDMk1grL,different experiences + different perspectives = better decision making - the neurodiversity hr equation <url> <url>
