,tweet_id,text,tokenized_text
0,1465879803559436288,I recently started an online course called Autism and Neurodiversity in the Workplace. https://t.co/42slgmMDFj I've taken the first module so far and I would recommend it to anyone who works with people who are neurodiverse.,i recently started an online course called autism and neurodiversity in the workplace . <url> i have taken the first module so far and i would recommend it to anyone who works with people who are neurodiverse .
1,1465878578726420486,Why Your Autistic Loved One Stares at You or Paces When You’re Talking to Someone Else (or Otherwise Busy): https://t.co/qgPFbSiYvf #autism #actuallyautistic #neurodiversity #neurodivergent #autismparent #autismmom #autismdad Please RT https://t.co/AlJqx9jEVf,why your autistic loved one stares at you or paces when you ’ re talking to someone else ( or otherwise busy ) : <url> <hashtag> autism </hashtag> <hashtag> actually autistic </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> neuro divergent </hashtag> <hashtag> autism parent </hashtag> <hashtag> autism mom </hashtag> <hashtag> autism dad </hashtag> please rt <url>
2,1465877458276675588,"@AuthorConfusion NeuroTribes by Steve Silberman is a great autism-positive look at the long history of autism &amp; neurodiversity

The Storytelling Animal by Jonathan Gottschall about how and why our brains are addicted to stories

A Short History of Nearly Everything by Bill Bryson",<user> neurotribes by steve silberman is a great autism - positive look at the long history of autism & neurodiversity the storytelling animal by jonathan gottschall about how and why our brains are addicted to stories a short history of nearly everything by bill bryson
3,1465876952682741772,"Did you miss our presentation in collaboration with Hoosier Alliance for Neurodiversity, Artists for Inclusion, and the Theatre and Dance LLC? 
You can view them here:","did you miss our presentation in collaboration with hoosier alliance for neurodiversity , artists for inclusion , and the theatre and dance <allcaps> llc </allcaps> ? you can view them here :"
4,1465875830777651203,Using neurodiversity to enable your trolling is next level bollocks. https://t.co/Yol5HWDr78,using neurodiversity to enable your trolling is next level bollocks . <url>
9,1465871536812929025,Happy Hanukkah 2021 to our Jewish friends from Beyond The Box #Hanukkah #autism #asd #autismontario #autismspectrum #BeTheChange  #neurodiversity #endthestigma @autismspeaksCAN @autismONT @autismCanada @geneva_centre  @autism @AMHAwareness @Spectrum @ONTSpecialNeeds @ONTABA1 https://t.co/Z9tJ3qvUEb,happy hanukkah <number> to our jewish friends from beyond the box <hashtag> hanukkah </hashtag> <hashtag> autism </hashtag> <hashtag> asd </hashtag> <hashtag> autism ontario </hashtag> <hashtag> autism spectrum </hashtag> <hashtag> be the change </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> end the stigma </hashtag> <user> <user> <user> <user> <user> <user> <user> <user> <user> <url>
13,1465867926066577408,"@DrEmmaLBrown @k8_lister Yeah, Access To Work do a full RA assessment and report. I had the same issue with not knowing where to start with RAs and they definitely helped. 

Neurodiversity coach sounds rather interesting! Search engine rabbit hole, here I come. 😁","<user> <user> yeah , access to work do a full ra assessment and report . i had the same issue with not knowing where to start with ras and they definitely helped . neurodiversity coach sounds rather interesting ! search engine rabbit hole , here i come . 😁"
16,1465864845765615617,What Does #Sensory #Autism Mean? https://t.co/gwJnneErCq #hyposensitive #sensoryfriendlysolutions #sensorydisorder #sensoryprocessingdisorder #hypersensitive #neurodiversity,what does <hashtag> sensory </hashtag> <hashtag> autism </hashtag> mean ? <url> <hashtag> hypo sensitive </hashtag> <hashtag> sensory friendly solutions </hashtag> <hashtag> sensory disorder </hashtag> <hashtag> sensory processing disorder </hashtag> <hashtag> hypersensitive </hashtag> <hashtag> neurodiversity </hashtag>
17,1465864346349801477,"Regardless of age, race, sexual orientation, ethnicity, religion, gender identity or expression, disability status, neurodiversity, citizenship, or any other feature that makes you unique, you are welcome in CUES. 
https://t.co/S9eByQcjZJ https://t.co/efIpEgd7xS","regardless of age , race , sexual orientation , ethnicity , religion , gender identity or expression , disability status , neurodiversity , citizenship , or any other feature that makes you unique , you are welcome in <allcaps> cues </allcaps> . <url> <url>"
18,1465863461615939589,"📣INCLUDING PERSONS WITH DISABILITIES AND NEURODIVERGENT TALENT IN THE WORKPLACE
📅 Thu 2 Dec | 4:00pm-5:15pm (UTC +5:30)
👉Register here: https://t.co/KtwesVhsFZ
-----------

#ImpactXAsia #CBIndia #Neurodiversity #DisabilityInclusion #Diversity #Inclusion https://t.co/7QWlFK9zh0",📣 <allcaps> including persons with disabilities and neurodivergent talent in the workplace </allcaps> 📅 thu <date> | <time> - <time> ( <allcaps> utc </allcaps> + <time> ) 👉 register here : <url> - - - - - - - - - - - <hashtag> impact x asia </hashtag> <hashtag> cb india </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> disability inclusion </hashtag> <hashtag> diversity </hashtag> <hashtag> inclusion </hashtag> <url>
