,tweet_id,text,tokenized_text
2,1455014240251793410,"Neurodiversity in technology: Are businesses missing out on key talent?

#FinTech #FinServ #Neurodiversity 

https://t.co/1Ev057yrAY via @TechCrunch @gildeatracie https://t.co/pShxd2G2r9",neurodiversity in technology : are businesses missing out on key talent ? <hashtag> fin tech </hashtag> <hashtag> fin serv </hashtag> <hashtag> neurodiversity </hashtag> <url> via <user> <user> <url>
5,1454994134595424256,Neurodiversity in technology: Are businesses missing out on key talent? - https://t.co/C81IQZL6cz #personalgrowth #goals #motivation #success #motivational #loa #selfdevelopment #wellbeing #joy https://t.co/fwcxqeKaVU,neurodiversity in technology : are businesses missing out on key talent ? - <url> <hashtag> personal growth </hashtag> <hashtag> goals </hashtag> <hashtag> motivation </hashtag> <hashtag> success </hashtag> <hashtag> motivational </hashtag> <hashtag> loa </hashtag> <hashtag> self development </hashtag> <hashtag> well being </hashtag> <hashtag> joy </hashtag> <url>
7,1454993206572027904,"I've finished up the manuscript on a full-length sci-fi novella that explores these concepts in more detail too. It's out-for-publication atm, but I'm not sure who will end up taking it, or when it's gonna be released. Most of my sci-fi tackles neurodiversity &amp; disability too.","i have finished up the manuscript on a full - length sci - fi novella that explores these concepts in more detail too . it ' s out - for - publication atm , but i am not sure who will end up taking it , or when it ' s gonna be released . most of my sci - fi tackles neurodiversity & disability too ."
8,1454991743577772032,"Check out ""Stanford Neurodiversity Summit 2021"" https://t.co/tq3voZYiED @Eventbrite","check out "" stanford neurodiversity summit <number> "" <url> <user>"
11,1454984437846921227,Happy ‘not so scary’ Halloween from us at Beyond The Door! #halloween2021 #autism #asd #autismontario #autismspectrum #BeTheChange  #neurodiversity #endthestigma @autismspeaksCAN @autismONT @autismCanada @geneva_centre  @autism @AMHAwareness @Spectrum @ONTSpecialNeeds @ONTABA1 https://t.co/W2Xc5T2UJa,happy ‘ not so scary ’ halloween from us at beyond the door ! <hashtag> halloween 2021 </hashtag> <hashtag> autism </hashtag> <hashtag> asd </hashtag> <hashtag> autism ontario </hashtag> <hashtag> autism spectrum </hashtag> <hashtag> be the change </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> end the stigma </hashtag> <user> <user> <user> <user> <user> <user> <user> <user> <user> <url>
12,1454974946657062915,October was National Disability Employment Awareness Month and Global Diversity Awareness Month. did u know Neurodiversity is just beginning to tiptoe into these conversations? @AliceMundia @andyspeaks4 @ActioNetwork @RizikiSource @i2iAid @LcImpact @CBM_Global @CDPOKConsortium,october was national disability employment awareness month and global diversity awareness month . did u know neurodiversity is just beginning to tiptoe into these conversations ? <user> <user> <user> <user> <user> <user> <user> <user>
15,1454971281581953030,"@HealingMindsTW I'm neurodiverse myself and was a teacher previously and so, I couldn't agree more. All professionals involved with children should be educated fully on neurodiversity. It's crucial x","<user> i am neurodiverse myself and was a teacher previously and so , i could not agree more . all professionals involved with children should be educated fully on neurodiversity . it ' s crucial x"
16,1454967684756611081,"Neurodiversity in technology: Are businesses missing out on key talent? – TechCrunch
https://t.co/eY9wGD42T8 https://t.co/llHJPhbbzn",neurodiversity in technology : are businesses missing out on key talent ? – techcrunch <url> <url>
17,1454964951311736837,"@MightyKreskin @Keirwales The neurodiversity movement is about trying to get society to change (to be more accepting and accommodating of autism, ADHD) rather than trying to change the autistic person to be less autistic. This doesn't mean providing no support to the autistic person.","<user> <user> the neurodiversity movement is about trying to get society to change ( to be more accepting and accommodating of autism , <allcaps> adhd </allcaps> ) rather than trying to change the autistic person to be less autistic . this does not mean providing no support to the autistic person ."
19,1455133420628107267,"@4licerose Stereotypes can be barriers
ADHD may sit alongside other diagnoses 
People are still individuals
Not enough attention is given to living well and accommodating neurodiversity at all stages of life - not just children

Hope that helps. Great it’s being discussed.",<user> stereotypes can be barriers <allcaps> adhd </allcaps> may sit alongside other diagnoses people are still individuals not enough attention is given to living well and accommodating neurodiversity at all stages of life - not just children hope that helps . great it ’ s being discussed .
