,tweet_id,text,tokenized_text
1,1520674390051942400,"Register for your FREE ticket here on eventbrite: https://t.co/Xg64Xb3u1A

*Please note this is for people who live in Dacorum
district (Hemel Hempstead, Berkhamstead, Tring)*

#ADDvance #neurodiversity #ADHD #autism
#hertfordshire #dacorum #SEND
#SENDInformationFayre #DSPL8 https://t.co/jjEAwRnAEc","register for your <allcaps> free </allcaps> ticket here on eventbrite : <url> * please note this is for people who live in dacorum district ( hemel hempstead , berkhamstead , tring ) * <hashtag> ad dvance </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> adhd </hashtag> <hashtag> autism </hashtag> <hashtag> hertfordshire </hashtag> <hashtag> da corum </hashtag> <hashtag> send </hashtag> <hashtag> send information fayre </hashtag> <hashtag> dspl 8 </hashtag> <url>"
3,1520671424863735808,"Before you demand people return to the office, look up how to make your workspace more inclusive 

Accommodations for disability or neurodiversity are, like remote work for example, things that we all find we enjoy 

https://t.co/7YW5ghvz8u","before you demand people return to the office , look up how to make your workspace more inclusive accommodations for disability or neurodiversity are , like remote work for example , things that we all find we enjoy <url>"
4,1520669778582679557,"@BeckiBawler @NicolePonsford @Ka81 @HughesHaili @EnterpriseSBox @neuroteachers @ml_thomason @spikez_novel @change_Beh @mlawsontpp @NeilJBeck Both my daughter and I are at different stages of the NHS process. Hope to work with @NicolePonsford to create a safe &amp; supportive online space where we can share real stories, signposting &amp; evidence-informed research for girls &amp; women with #ADHD and #Neurodiversity","<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> both my daughter and i are at different stages of the <allcaps> nhs </allcaps> process . hope to work with <user> to create a safe & supportive online space where we can share real stories , signposting & evidence - informed research for girls & women with <hashtag> adhd </hashtag> and <hashtag> neurodiversity </hashtag>"
5,1520664516190691329,"@ClaudiaWebbe @DrMBotha Also ableism: non verbal is assumed to mean non thinking by society in general (and non cooperative by authority figures like police &amp; teachers).  

We need better understanding of mental health conditions &amp; neurodiversity in society and particularly in those with power.",<user> <user> also ableism : non verbal is assumed to mean non thinking by society in general ( and non cooperative by authority figures like police & teachers ) . we need better understanding of mental health conditions & neurodiversity in society and particularly in those with power .
6,1520662821813559296,"this very political activist meme relating to freedom of expression relating to culture and neurodiversity is proving it's point !
#MentalHealthAwarenessMonth
#neurodiversity #actuallyautistic #autismspectrum #artist #anticensorship #satirist #savetheinternet #freedomofexpression",this very political activist meme relating to freedom of expression relating to culture and neurodiversity is proving it ' s point ! <hashtag> mental health awareness month </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> actually autistic </hashtag> <hashtag> autism spectrum </hashtag> <hashtag> artist </hashtag> <hashtag> anti censorship </hashtag> <hashtag> satirist </hashtag> <hashtag> save the internet </hashtag> <hashtag> freedom of expression </hashtag>
7,1520662466488901633,"If this very political activist meme relating to freedom of expression relating to culture and neurodiversity violates social media community guidelines &amp; this social media account is at risk or is shut down due to violating such social media community guidelines , remember ,","if this very political activist meme relating to freedom of expression relating to culture and neurodiversity violates social media community guidelines & this social media account is at risk or is shut down due to violating such social media community guidelines , remember ,"
10,1520658280284053506,@theangeljbsmith Neurodiversity can be broken down into two categories of people: those who are neurotypical and those who are neurodivergent.,<user> neurodiversity can be broken down into two categories of people : those who are neurotypical and those who are neurodivergent .
11,1520657777735176193,Neurodiversity can be broken down into two categories of people: those who are neurotypical and those who are neurodivergent. So that one need to go read her book please disturbing people 🙄,neurodiversity can be broken down into two categories of people : those who are neurotypical and those who are neurodivergent . so that one need to go read her book please disturbing people 🙄
14,1520656090962223105,@Dawlinejane_Art @sapeyyyy_ @1Schoolhouse Yeah sadly I can easily believe that 😔 also not all neurodiversity training is...  good... either.,<user> <user> <user> yeah sadly i can easily believe that 😔 also not all neurodiversity training is . <repeated> good . <repeated> either .
18,1520653312269373441,"@HaneMaung @shengokai Thanks Hane. Here's a few blogs of mine on diagnosis that might be relevant:
https://t.co/ofnMvSLeoT

https://t.co/uRFpCi2mzs

https://t.co/3xPkCoeT2z",<user> <user> thanks hane . here ' s a few blogs of mine on diagnosis that might be relevant : <url> <url> <url>
