,tweet_id,text,tokenized_text
1,1565133817999790080,🧵@AutCollab panel discussion: The 5th International Day of Protest Against ABA. Ban the teaching of ABA. #BanABA. Celebrate the rich kaleidoscope of neurodiversity. Engage with the Autistic community at eye level. Make Shift Happen. Recordings embedded below. https://t.co/5RRZ545thn https://t.co/LKS8eRtgfV,🧵 <user> panel discussion : the 5 th international day of protest against <allcaps> aba </allcaps> . ban the teaching of <allcaps> aba </allcaps> . <hashtag> ban aba </hashtag> . celebrate the rich kaleidoscope of neurodiversity . engage with the autistic community at eye level . make shift happen . recordings embedded below . <url> <url>
2,1565132992523243522,"Having a basic understanding of #monotropism #DoubleEmpathy #Neurodiversity would support everyone to understand everyone better. They should be covered at some level in training courses &amp; CPD for everyone in health, education, social work, law/ justice &amp; more @AFNCCF @RCSLTLearn","having a basic understanding of <hashtag> mono trop ism </hashtag> <hashtag> double empathy </hashtag> <hashtag> neurodiversity </hashtag> would support everyone to understand everyone better . they should be covered at some level in training courses & <allcaps> cpd </allcaps> for everyone in health , education , social work , law / justice & more <user> <user>"
3,1565132715875237890,"The word 'neurodiversity' was coined in the 90s, but the community surrounding that word is in many ways even newer. People with diagnoses coming together online and sharing their lived experience has created new discourses that deserve respectful engagement.","the word ' neurodiversity ' was coined in the 9 0 s , but the community surrounding that word is in many ways even newer . people with diagnoses coming together online and sharing their lived experience has created new discourses that deserve respectful engagement ."
4,1565132709235671040,"There's also an argument you can have about how far any of these labels pick out distinct things. Maybe ""neurodiversity"" is just a bigger, more inclusive spectrum that includes autism, ADHD and other stuff too. Or maybe not; I'm gonna leave that debate here.","there ' s also an argument you can have about how far any of these labels pick out distinct things . maybe "" neurodiversity "" is just a bigger , more inclusive spectrum that includes autism , <allcaps> adhd </allcaps> and other stuff too . or maybe not ; i am gonna leave that debate here ."
5,1565132690730393603,"I'm trying to apply for a PhD to study the philosophy of neurodiversity right now. It's going... OK maybe? Anyway, I have general thoughts I'd like to share about the slightly narrower subject of the neurodivergent (ND from her on) community on Twitter.🧵","i am trying to apply for a phd to study the philosophy of neurodiversity right now . it ' s going . <repeated> ok maybe ? anyway , i have general thoughts i ' d like to share about the slightly narrower subject of the neurodivergent ( nd from her on ) community on twitter . 🧵"
6,1565132468742602752,"🐲Red &amp; Grey Dragon Chewlery in stock
📣Get in quick! Selling fast! 
💙Blue Dragons SOLD OUT 🐉

📮Tracked post, 🇦🇺Aussie company
Orders 👉🏻 https://t.co/BIq5FYyA5t

#strawandcamel #chewme #dragonchewlery #chewlery #asd #odd #spd #adhd #Neurodiversity https://t.co/jJKYh7ZmGK","🐲 red & grey dragon chewlery in stock 📣 get in quick ! selling fast ! 💙 blue dragons <allcaps> sold out </allcaps> 🐉 📮 tracked post , 🇦 🇺 aussie company orders 👉 🏻 <url> <hashtag> straw and camel </hashtag> <hashtag> chew me </hashtag> <hashtag> dragon chew lery </hashtag> <hashtag> chew lery </hashtag> <hashtag> asd </hashtag> <hashtag> odd </hashtag> <hashtag> spd </hashtag> <hashtag> adhd </hashtag> <hashtag> neurodiversity </hashtag> <url>"
8,1565132089598648320,"#Blog: If you approach recruitment with the following skills in mind, you are already taking positive forward steps to embrace neurodiversity in recruitment. https://t.co/sHgehyBj8L https://t.co/yzJc2hxdmb","<hashtag> blog </hashtag> : if you approach recruitment with the following skills in mind , you are already taking positive forward steps to embrace neurodiversity in recruitment . <url> <url>"
9,1565127576561270784,"@cyn_mccrackan @ZuzuQueenOfMars I remembered. It’s from neurodiversity unbroken, I think the concept of dynamic disability is talked about in other contexts too.","<user> <user> i remembered . it ’ s from neurodiversity unbroken , i think the concept of dynamic disability is talked about in other contexts too ."
10,1565127295534186496,"@labbedel gave insightful input on how to support the participation of #autistic people in our communities. 

Want to learn more? Here’s the recording of her presentation at AIR-P Research Day ➡️https://t.co/USrAdnjJBr

#AutismSupport #Inclusion #Neurodiversity #Autism https://t.co/YCIYNuiQ7v",<user> gave insightful input on how to support the participation of <hashtag> autistic </hashtag> people in our communities . want to learn more ? here ’ s the recording of her presentation at <allcaps> air </allcaps> - p research day ➡️ <url> <hashtag> autism support </hashtag> <hashtag> inclusion </hashtag> <hashtag> neurodiversity </hashtag> <hashtag> autism </hashtag> <url>
14,1565233148862119942,"In our latest blog post, we outline what 'neurodiversity' means and our approach to it. Happy new school year!

https://t.co/y9kPehxmzL https://t.co/TlFCyug3yQ","in our latest blog post , we outline what ' neurodiversity ' means and our approach to it . happy new school year ! <url> <url>"
