,tokenized_text,is_after_split_date
0,recently started online course called autism workplace ive taken first module far would recommend anyone works people,False
1,autistic loved one stares paces talking someone else otherwise busy please rt,False
2,neurotribes steve silberman great autismpositive look long history autism storytelling animal jonathan gottschall brains addicted stories short history nearly everything bill bryson,False
3,miss presentation collaboration hoosier alliance artists inclusion theatre dance llc view,False
4,using enable trolling next level bollocks,False
5,happy hanukkah jewish friends beyond box,False
6,yeah access work full ra assessment report issue knowing start ras definitely helped coach sounds rather interesting search engine rabbit hole come,False
7,mean,False
8,regardless age race sexual orientation ethnicity religion gender identity expression disability status citizenship feature makes unique welcome cues,False
9,including persons disabilities talent workplace thu dec pm pm utc register,False
10,done wish could edit realised option include,False
11,game internet addiction affects us children info visit,False
12,aint trying make productive focusmate person want,False
13,finished shift giving tuesday telethon remember every donation given today doubled helping atpf better serve families san diego san francisco,False
14,think tarot book without binding pages love jessica opening people self exploration tarot people need way work mind fun open via see,False
15,thinking cyclical trauma one informing always literally wild,False
16,dumb question even thin im jk good question says lot much confusion mental health different fields interact neurological condition psychological results,False
17,new heartmind online resource neurodiversityinclusive sel strategies,False
18,music music nice shopping,False
19,needs improved training academics mental health disabilities appropriate management people etc everywhere academia changing slowly going take concerted effort induce systemic change,False
20,time pose allies autistic people supporters lite one way research collaborations academics countries known allies,False
21,movement norway difficult situation whenever autism discussed publicly abaers invited comment experts comments consistently antineurodiversity harmful autistic people,False
22,differences autistic meltdowns tantrums look commonality comparing tantrums meltdowns using questions,False
23,dungeons dragons creating social community social anxiety report games publisher indicates,False
24,reality majority children unidentified misdiagnosed families let change,False
25,please dont apologise humble opinion dont want waste energy people nothing show care compassion humility around movement work hard,False
26,lets get amazing weather channel,False
27,hard function got adhd anxiety disorder paralyzing isolating depressing,False
28,need share somewhere wish wasnt relatable credit,False
29,new post autistic hull man goes home years hospital,False
30,days go addvance advent calendar top tips survive festive season,False
31,meeting humans mental illness physical disability made realize even flesh material unknown scary another thing made break like robots,False
32,would recommend collaborating behaviorists tell lies one collaborators calling extremism identity politics talking aba cured aggressive autism,False
33,want find diagnosis child empowering come along talk today via link,False
34,anyone good interesting marxist analysis work disciplining structuring social disorders working framework read,False
35,wifes article toxic nothing positive messages share around,False
36,much looking forward hosting guest lecturer efl class today w,False
37,wonderful opportunity hear lived experience flex old muscles confident communication pro excellent session disability long term conditions networks take book free place,False
