,tokenized_text,is_after_split_date
0,one additional irritation use mental health reason requiring people site strictly necessary huge swing miss comes learning better practice neuroinclusion,False
1,honor autism awareness month id like recognize kpmg colleagues like marni dedicated furthering mission autism speaks thank marni,False
2,reference future ammo needed cw link uncensored slurs ableism incl rslur dehumanisation child abuse torture manipulation conversion therapy severe setbacks past acceptance article condemns things,False
3,autism isnt something cured something magically goes away become adult disease mental illness born happy way,False
4,preaching racial justice man friends right warned never meet heroes,False
5,go sinclair robins black teen featured new book improving education young africanamerican women,False
6,gabbi hanna absolute worst worst worst influencer go learn ab literally go ask aaaaaaaaany person planet adhd adhd like u get better response anything said,False
7,things dont exist unless need autistic perspective please rt,False
8,conclude two things label given doctors define way think mix little knowledge biology gives us concept inclusive,False
9,invited ast talk,False
10,thinking queerly medievalism wizardry young adult texts medieval institute publications,False
11,throw back aan annual meeting anniversary universal studios night hopefully next year much fun,False
12,know totally understand see bullying harassment threatened movement want silence us,False
13,interesting see top donators hey donate charity actually positive,False
14,security security boulevard,False
15,know martyr types like attention hate movement community using voices change things hate takes attention away pity parties,False
16,fighting stigma local teen advocate featured book help teachers improve education african proud advocate robins seeks increase awareness autism remove stigma surrounds,False
17,interviewed yearold son wants know living,False
18,need encouragement parenting journey watch second power video tips trenches,False
19,different organisations secret symbols maybe apple tag id card become secret symbol,False
20,didnt think would leave one story weekend way josé join us bank holiday monday special see facebook page,False
21,excellent article educator something many us nd folk parents nd kids fighting change narrative,False
22,expert think sometimes ik ppl ik issues also could b like symptom autism mistaken low empathy normal think make u bad person either,False
23,think theres correlation adhd similar reasons causes alienation questioning societal pressures e neuroatypical people likely gay trans poly kink etc,False
24,yay mentioned june day stanley beyond excited release book proud peggy bringing story life,False
25,systems designed mind would fewer bureaucratic inefficiencies,False
26,nothing causes autism way nothing causes gay part,False
27,surely dont obsession moment also watches tons yt videos personality disorders etc,False
28,theyve weaponised mental health gently powerfully use music art satire etc healthier creative critique ridicule rather allow trauma eat away bring back sing back bring back,False
29,remember autism awareness acceptance end april every day every every month every year basically never stops lets keep teaching inspiring others embrace autism every day,False
30,counsellors available kids need would good start proper professional development mental health staff understand teacher aid classroom help families struggling,False
31,wonderful initiative indias first comic strip celebrating look forward ones vernacular languages,False
32,yeah fall asleep rn thanks,False
33,thinking day heard get bored rugby fancy change career,False
34,looking work coach clients short course delivered develop understanding awareness ways supporting clients,False
35,w e r stands western educated industrialised rich democratic long society confuses homo economicus homo sapiens bit course,False
36,friend madhav picky eater check india first comic strip celebrating,False
37,friend madhav picky eater check india first comic strip celebrating,False
38,friend madhav picky eater see comic strips,False
39,oh walk miles miles miles everyday repositories work size two football pitches largely physical job tired,False
40,strategy include attract candidates michael page joined experts explore value workplace reveal implement workplace effectively,False
41,bharat kiran working autism work raise awareness read building workplace without barriers,False
42,hey heres post might missed read essentialness selfcare,False
43,famous two ronnies four candles sketch perfect example double empathy problem says latest episode different minds podcast series listen fascinating interview,False
44,focussed academic things didnt give lovein mention id love say ive lived autism years know diagnosed late dont valuable resource information,False
45,learn challenges skills people living dyslexia enrol join free east london nhs foundation trust,False
46,blame symptoms behaviour manage symptoms manage behaviour comes along put everything creates stigma others also may feel spreading false info,False
47,scmagazine really interesting work happening u k drive recognize advantage fostering new ways thinking,False
48,good work hopefully give people confidence need join industry,False
49,baffling thing much online autistic community supports dont mean autism parents mean significant chunk community twitter seems gotten behind,False
50,work gchq recently article really talks whole cs feel,False
51,creating environment people bring unique experiences perspectives committing diversity inclusion strategy encompasses vital business success zurich insurance company ltd,False
52,collective intelligence game theory,False
53,get free ebook today amazon dyslexia tool kit expanded edition focuses dyslexic strengths instead phonemic weaknesses,False
54,nice see positive story,False
55,learn differently dont forget change leaners need kinds activities order succeed,False
