,tokenized_text,is_after_split_date
0,technology businesses missing key talent via,False
1,technology businesses missing key talent,False
2,ive finished manuscript fulllength scifi novella explores concepts detail outforpublication atm im sure end taking gonna released scifi tackles disability,False
3,check stanford summit,False
4,happy scary halloween us beyond door,False
5,october national disability employment awareness month global diversity awareness month u know beginning tiptoe conversations,False
6,im teacher previously couldnt agree professionals involved children educated fully crucial x,False
7,technology businesses missing key talent techcrunch,False
8,movement trying get society change accepting accommodating autism adhd rather trying change autistic person less autistic doesnt mean providing support autistic person,False
9,stereotypes barriers adhd may sit alongside diagnoses people still individuals enough attention given living well accommodating stages life children hope helps great discussed,False
10,gavin decades research smoking animal models neversmokers use snus sweden show nicotine neuroprotective prevents disease lower risk also reduces symptoms adults issues,False
11,resistance making adjustments comes lack understanding knowledge wac create understanding essential employee supported appropriately katherine kindersley,False
12,blog discuss handle flight cancellations experienced one yesterday,False
13,two amount shit hear especially eugenic discourse,False
14,advantages people bring workplace different perspective help challenge conventional ways things someone brain works differently solve problems differently,False
15,fun creating symbols using chalk playground,False
16,viewpoint advocacy orthodoxy movement sought normalize autism changing always best genetic literacy project,False
17,would use term rather mental disease personally,False
18,looking forward seeing speak ux glasgow meetup coming wednesday get ticket,False
19,autist noun autistics involved movement sweden call autistisk adjective less common person med autism still common one among people less educated autistics,False
20,arts humanities help us avoid represented role world uses shape better experience,False
21,among many stereotypes placed individuals misconception inherent ability succeed school ineptness navigating social interactions,False
22,technology businesses missing key talent via,False
23,introduction neurodivergence cultural sector training cover movement legislation terminology confidence developing programming workforce delivered book place,False
24,technology businesses missing key talent techcrunch,False
25,dyslexia awareness people think dyslexia means struggle spelling affect much including low selfesteem anxietystrengths include different way thinking problem solving creativity,False
26,members please vote november similar vision youth communities thank marlon james edwards,False
27,impressed techcrunch article im building app mental health focused dei contact cause,False
28,design inclusive towards lead pack business world explore latest series learn,False
29,hey bobbie could fall term need specific mental health conditions rather diseases,False
30,tonight mental health disability night,False
31,volunteering websites one find volunteers charity rely creating ability give work social media web print,False
32,current form simply unsustainable another viewpoint autistic adult,False
33,new training tomorrow pm explanation role executive functions particularly related hoarding disorders chronic disorganisation extreme clutter,False
34,tonight mental health disability night,False
35,technology businesses missing key talent via cc,False
36,tonight mental health disability night,False
37,tap talent ending underrepresentation workplace,False
38,cognitive diversity management aim play role,False
39,beer late tonight u k,False
40,jo och defaultförväntningar people institutions still largely take default person abled straight neurotypical comfortablyoff educated white cis man despite fact people fit box,False
41,shame classrooms adopt kind approach,False
42,coming soon,False
43,greatest asset company people learn improve automate recruitment,False
44,radical guide women adhd embrace live boldy break barriers mobi download,False
45,established literature parents bit outdated understanding autism rightfully improving consider following autism discussion page facebook starting point,False
46,fact people told thing comparable needing told sleep good different behavioural characteristics nothing new illustrated ancient writings corners world,False
47,absolutely agree insurance sector established gain group autism insurance hub support people progress sector careers want,False
48,hope ever reads enjoys learn someone struggling much even seem perfectly fine high spirits always patient others never know people process life,False
49,gardening wellbeing bumper crop tips get outdoors many people gardens important part home recently,False
50,check great share last year,False
51,tips toileting personal care,False
52,longer youll prise mememonday cold lifeless hands weve probably done one like,False
53,dr bill wong fighting autistic adult,False
54,dreamt oprah time seriously dream state felt like presence,False
55,questionably aged rep aside cube fucks incredibly hard,False
56,companies understand,False
57,shout meadowside primary school northamptonshire registering take part celebration,False
58,st diversity thought network meeting walking one walking helps creativity open conversations mental health first steps towards enhancing awareness encouraging diversity thought,False
59,ago read book main character excited see story mc first thing character walk locker fall floor crazy slapstick fashion,False
60,know find,False
61,learned love neurodiversityone charms life,False
62,great spend morning kate team talking amazing ethos staff supporting young people well done everyone thank time openness engagement,False
63,technology businesses missing key talent techcrunch,False
64,happy november want read november wiring prompt submission guidelines,False
