full_tidy_stop_words,unigram_stop_words,ngram_stop_words,unigram_included,ngram_included
i,i,i,ourselves,my
me,me,me,against,myself
my,my,you,,we
myself,myself,your,,our
we,we,yours,,ours
our,our,yourself,,ourselves
ours,ours,yourselves,,they
ourselves,you,he,,them
you,your,him,,their
your,yours,his,,theirs
yours,yourself,himself,,themselves
yourself,yourselves,she,,am
yourselves,he,her,,is
he,him,hers,,are
him,his,herself,,against
his,himself,it,,before
himself,she,its,,after
she,her,itself,,
her,hers,what,,
hers,herself,which,,
herself,it,who,,
it,its,whom,,
its,itself,this,,
itself,they,that,,
they,them,these,,
them,their,those,,
their,theirs,was,,
theirs,themselves,were,,
themselves,what,be,,
what,which,been,,
which,who,being,,
who,whom,have,,
whom,this,has,,
this,that,had,,
that,these,having,,
these,those,do,,
those,am,does,,
am,is,did,,
is,are,doing,,
are,was,would,,
was,were,should,,
were,be,could,,
be,been,ought,,
been,being,i'm,,
being,have,you're,,
have,has,he's,,
has,had,she's,,
had,having,it's,,
having,do,we're,,
do,does,they're,,
does,did,i've,,
did,doing,you've,,
doing,would,we've,,
would,should,they've,,
should,could,i'd,,
could,ought,you'd,,
ought,i'm,he'd,,
i'm,you're,she'd,,
you're,he's,we'd,,
he's,she's,they'd,,
she's,it's,i'll,,
it's,we're,you'll,,
we're,they're,he'll,,
they're,i've,she'll,,
i've,you've,we'll,,
you've,we've,they'll,,
we've,they've,isn't,,
they've,i'd,aren't,,
i'd,you'd,wasn't,,
you'd,he'd,weren't,,
he'd,she'd,hasn't,,
she'd,we'd,haven't,,
we'd,they'd,hadn't,,
they'd,i'll,doesn't,,
i'll,you'll,don't,,
you'll,he'll,didn't,,
he'll,she'll,won't,,
she'll,we'll,wouldn't,,
we'll,they'll,shan't,,
they'll,isn't,shouldn't,,
isn't,aren't,can't,,
aren't,wasn't,cannot,,
wasn't,weren't,couldn't,,
weren't,hasn't,mustn't,,
hasn't,haven't,let's,,
haven't,hadn't,that's,,
hadn't,doesn't,who's,,
doesn't,don't,what's,,
don't,didn't,here's,,
didn't,won't,there's,,
won't,wouldn't,when's,,
wouldn't,shan't,where's,,
shan't,shouldn't,why's,,
shouldn't,can't,how's,,
can't,cannot,a,,
cannot,couldn't,an,,
couldn't,mustn't,the,,
mustn't,let's,and,,
let's,that's,but,,
that's,who's,if,,
who's,what's,or,,
what's,here's,because,,
here's,there's,as,,
there's,when's,until,,
when's,where's,while,,
where's,why's,of,,
why's,how's,at,,
how's,a,by,,
a,an,for,,
an,the,with,,
the,and,about,,
and,but,between,,
but,if,into,,
if,or,through,,
or,because,during,,
because,as,above,,
as,until,below,,
until,while,to,,
while,of,from,,
of,at,up,,
at,by,down,,
by,for,in,,
for,with,out,,
with,about,on,,
about,between,off,,
against,into,over,,
between,through,under,,
into,during,again,,
through,before,further,,
during,after,then,,
before,above,once,,
after,below,here,,
above,to,there,,
below,from,when,,
to,up,where,,
from,down,why,,
up,in,how,,
down,out,all,,
in,on,any,,
out,off,both,,
on,over,each,,
off,under,few,,
over,again,more,,
under,further,most,,
again,then,other,,
further,once,some,,
then,here,such,,
once,there,no,,
here,when,nor,,
there,where,not,,
when,why,only,,
where,how,own,,
why,all,same,,
how,any,so,,
all,both,than,,
any,each,too,,
both,few,very,,
each,more,im,,
few,most,ive,,
more,other,,,
most,some,,,
other,such,,,
some,no,,,
such,nor,,,
no,not,,,
nor,only,,,
not,own,,,
only,same,,,
own,so,,,
same,than,,,
so,too,,,
than,very,,,
too,ive,,,
very,im,,,
